Assay ID,,Description,Assay_Name,Assay_Group,Assay_Format,Assay_Type,Species,AID,ChEMBL Assay ID
1,,Ability to inhibit binding of [3H]R-1881 to rat ventral prostate cytosolic androgen receptor was measured in a radioligand binding assay.,Competitive Binding Assay,Binding,Other,Binding,Rattus norvegicus,,CHEMBL883286
2,,Activation of AR co-activator binding domain expressed in african green monkey CV1 cells at <=40 uM relative to control,MMTV-Luc reporter gene assay,Reporter gene,cell-based format,Agonist,Homo sapiens,,CHEMBL2168724
3,,Activation of androgen receptor in androgen-sensitive (AR+) mouse Shionogi cells assessed as stimulation of cell proliferation after 10 days at 0.1 uM relative to control,Cell proliferation,Cell proliferation,assay format,Binding,Mus musculus,,CHEMBL1816730
4,,Activation of androgen receptor in androgen-sensitive (AR+) mouse Shionogi cells assessed as stimulation of cell proliferation after 10 days at 1 uM relative to control,Cell proliferation,Cell proliferation,assay format,Binding,Mus musculus,,CHEMBL1816732
5,,Activation of androgen receptor in androgen-sensitive (AR+) mouse Shionogi cells assessed as stimulation of cell proliferation after 10 days relative to control,Cell proliferation,Cell proliferation,assay format,Binding,Mus musculus,,CHEMBL1816731
6,,Activation of L701H/T877A mutant androgen receptor of human prostate cancer MDAMB-PCa2b cell proliferation,transaction assays,Reporter gene,cell-based format,Agonist,Homo sapiens,,CHEMBL836805
7,,Activation of T877A androgen receptor of human prostate cancer LNCap cells in reporter gene assay,reporter gene assay,Reporter gene,cell-based format,Agonist,Homo sapiens,,CHEMBL835728
8,,Activity against human androgen receptor expressed in HepG2 cells assessed as activation of luciferase reporter gene at 1 uM,luciferase reporter gene assay,Reporter gene,cell-based format,Binding,Homo sapiens,,CHEMBL911020
9,,Activity against human androgen receptor expressed in HepG2 cells assessed as luciferase reporter gene activation,luciferase reporter gene assay,Reporter gene,cell-based format,Binding,Homo sapiens,,CHEMBL911023
10,,Activity against human androgen receptor expressed in HepG2 cells assessed as reduction in luciferase signal in presence of 100 uM flutamide at 1 uM after 40 hrs,luciferase reporter gene assay,Reporter gene,cell-based format,Binding,Homo sapiens,,CHEMBL911021
11,,Activity against human androgen receptor expressed in HepG2 cells assessed as renilla reporter gene activation in presence of 1 nM DHT at 1 uM after 40 hrs,luciferase reporter gene assay,Reporter gene,cell-based format,Binding,Homo sapiens,,CHEMBL911022
12,,Activity at androgen receptor assessed as inhibition of dihydrotestosterone response by GAL4-MMTV luciferase reporter gene assay,GAL4-MMTV luciferase reporter gene assay,Reporter gene,single protein format,Binding,Homo sapiens,,CHEMBL924815
13,,Activity at androgen receptor expressed in human LNCaP cells assessed as decrease in dihydrotestosterone-stimulated transcriptional activity at 10 uM after 18 hrs by luciferase reporter gene assay,luciferase reporter gene assay,Reporter gene,cell-based format,Binding,Homo sapiens,,CHEMBL978661
14,,Activity at androgen receptor expressed in human LNCaP cells assessed as effect on transcriptional activity at 0.1 uM after 18 hrs by luciferase reporter gene assay,luciferase reporter gene assay,Reporter gene,cell-based format,Binding,Homo sapiens,,CHEMBL978659
15,,Activity at androgen receptor expressed in human LNCaP cells assessed as effect on transcriptional activity at 10 uM after 18 hrs by luciferase reporter gene assay,luciferase reporter gene assay,Reporter gene,cell-based format,Binding,Homo sapiens,,CHEMBL978660
16,,Activity at androgen receptor in human Saos2 cells assessed as IL6 repression,Reporter Assay,Reporter gene,cell-based format,Binding,Homo sapiens,,CHEMBL930493
17,,Activity at androgen receptor ligand binding domain assessed as inhibition of SRC2-3 interaction after 2 hrs by fluorescence polarization assay,fluorescence polarization assay,Binding,single protein format,Binding,Homo sapiens,,CHEMBL924813
18,,Activity at androgen receptor ligand binding domain assessed as inhibition of SRC2-3 interaction at 50 uM after 2 hrs by fluorescence polarization assay,fluorescence polarization assay,Binding,single protein format,Binding,Homo sapiens,,CHEMBL924812
