Reference ID,,PMID,Journal_Name,Year,Volume,Issue,First_Page,Author,Title
1,,1588549,Journal of medicinal chemistry,1992,35,10,1663-70,"J P Mallamo, G M Pilling, J R Wetzel, P J Kowalczyk, M R Bell, R K Kullnig, F H Batzold, P E Juniewicz, R C Winneker, H R Luss",Antiandrogenic steroidal sulfonyl heterocycles. Utility of electrostatic complementarity in defining bioisosteric sulfonyl heterocycles.
2,,1597861,Journal of medicinal chemistry,1992,35,11,2113-29,"A Liu, K E Carlson, J A Katzenellenbogen",Synthesis of high affinity fluorine-substituted ligands for the androgen receptor. Potential agents for imaging prostatic cancer by positron emission tomography.
3,,1992146,Journal of medicinal chemistry,1991,34,1,447-55,"J J Morris, L R Hughes, A T Glen, P J Taylor",Non-steroidal antiandrogens. Design of novel compounds based on an infrared study of the dominant conformation and hydrogen-bonding properties of a series of anilide antiandrogens.
4,,2002446,Journal of medicinal chemistry,1991,34,3,1019-24,"M Salman, G C Chamness",A potential radioiodinated ligand for androgen receptor: 7 alpha-methyl-17 alpha-(2'-(E)-iodovinyl)-19-nortestosterone.
5,,2296011,Journal of medicinal chemistry,1990,33,1,129-32,"R C Winneker, M M Wagner, B Singh","A novel, nonsteroidal inhibitor of androgen binding to the rat androgen binding protein: diethyl [[[3-(2,6-dimethyl-4-pyridinyl)-4-fluorophenyl]amino]methylene] propanedioate."
6,,2296015,Journal of medicinal chemistry,1990,33,1,153-60,"R Ambros, M R Schneider, S von Angerer","Indolo[2,1-a]isoquinolines. Syntheses, steroid hormone receptor binding affinities, and cytostatic activity."
7,,2299621,Journal of medicinal chemistry,1990,33,2,509-13,"K Nickisch, D Bittler, H Laurent, W Losert, Y Nishino, E Schillinger, R Wiechert","Aldosterone antagonists. 3. Synthesis and activities of steroidal 7 alpha-(alkoxycarbonyl)-15,16-methylene spirolactones."
8,,2374140,Journal of medicinal chemistry,1990,33,8,2094-100,"R G Christiansen, M R Bell, T E D'Ambra, J P Mallamo, J L Herrmann, J H Ackerman, C J Opalka, R K Kullnig, R C Winneker, B W Snyder",Antiandrogenic steroidal sulfonylpyrazoles.
9,,2897467,Journal of medicinal chemistry,1988,31,6,1160-9,"T Ojasoo, J C Doré, J Gilbert, J P Raynaud",Binding of steroids to the progestin and glucocorticoid receptors analyzed by correspondence analysis.
10,,2911578,Proceedings of the National Academy of Sciences of the United States of America,1989,86,1,327-31,"W D Tilley, M Marcelli, J D Wilson, M J McPhaul",Characterization and expression of a cDNA encoding the human androgen receptor.
11,,2984418,Journal of medicinal chemistry,1985,28,4,428-33,"S Kamata, N Haga, T Mitsugi, E Kondo, W Nagata, M Nakamura, K Miyata, K Odaguchi, T Shimizu, T Kawabata","Aldosterone antagonists. 1. Synthesis and biological activities of 11 beta,18-epoxypregnane derivatives."
12,,3001307,Journal of medicinal chemistry,1986,29,1,54-60,"J C Doré, J Gilbert, T Ojasoo, J P Raynaud",Correspondence analysis applied to steroid receptor binding.
13,,3040999,Journal of medicinal chemistry,1987,30,9,1647-58,"S Kamata, T Matsui, N Haga, M Nakamura, K Odaguchi, T Itoh, T Shimizu, T Suzuki, M Ishibashi, F Yamada","Aldosterone antagonists. 2. Synthesis and biological activities of 11,12-dehydropregnane derivatives."
14,,3361581,Journal of medicinal chemistry,1988,31,5,954-9,"H Tucker, J W Crook, G J Chesterson",Nonsteroidal antiandrogens. Synthesis and structure-activity relationships of 3-substituted derivatives of 2-hydroxypropionanilides.
15,,3612688,Journal of medicinal chemistry,1987,30,8,1403-9,"K Nickisch, D Bittler, H Laurent, W Losert, J Casals-Stenzel, Y Nishino, E Schillinger, R Wiechert","Aldosterone antagonists. 2. New 7 alpha-(acetylthio)-15,16-methylene spirolactones."
16,,3783591,Journal of medicinal chemistry,1986,29,11,2298-315,"G H Rasmusson, G F Reynolds, N G Steinberg, E Walton, G F Patel, T Liang, M A Cascieri, A H Cheung, J R Brooks, C Berman",Azasteroids: structure-activity relationships for inhibition of 5 alpha-reductase and of androgen receptor binding.
17,,3989815,Journal of medicinal chemistry,1985,28,5,546-50,"K Nickisch, D Bittler, J Casals-Stenzel, H Laurent, R Nickolson, Y Nishino, K Petzoldt, R Wiechert","Aldosterone antagonists. 1. Synthesis and activities of 6 beta,7 beta:15 beta,16 beta-dimethylene steroidal spirolactones."
18,,4068004,Journal of medicinal chemistry,1985,28,12,1796-803,"H Morales-Alanis, M J Brienne, J Jacques, M M Bouton, L Nédélec, V Torelli, C Tournemine",Antiandrogenic activity of a series of des-A-steroid derivatives.
19,,6887208,Journal of medicinal chemistry,1983,26,9,1320-3,"E Surcouf, G Lepicard, J P Mornon, T Ojasoo, J P Raynaud",Additional conformational data for the mapping of the progestin binding site: crystal structures of 21-(phenylseleno)progesterone and 17 alpha-(phenylseleno)progesterone.
20,,7355922,American journal of obstetrics and gynecology,1980,136,4,426-9,"G C Chamness, R H Asch, C J Pauerstein",Danazol binding and translocation of steroid receptors.
21,,7401101,Journal of medicinal chemistry,1980,23,7,722-6,"J P Konopelski, C Djerassi, J P Raynaud",Synthesis and biochemical screening of phenylselenium-substituted steroid hormones.
22,,7707319,Journal of medicinal chemistry,1995,38,7,1158-73,"X Li, S M Singh, F Labrie",Synthesis and in vitro activity of 17 beta-(N-alkyl/arylformamido)- and 17 beta-[(N-alkyl/aryl)alkyl/arylamido]-4-methyl-4-aza-3-oxo-5 alpha-androstan-3-ones as inhibitors of human 5 alpha-reductases and antagonists of the androgen receptor.
23,,7877147,Journal of medicinal chemistry,1995,38,5,816-25,"Y S Choe, P J Lidström, D Y Chi, T A Bonasera, M J Welch, J A Katzenellenbogen","Synthesis of 11 beta-[18F]fluoro-5 alpha-dihydrotestosterone and 11 beta-[18F]fluoro-19-nor-5 alpha-dihydrotestosterone: preparation via halofluorination-reduction, receptor binding, and tissue distribution."
